,object_number,acquisition.method,title,description,institution.name,creator,creator.role,production.place,production.period,production.date.start,production.date.end,material,material.part,technique,technique.part,dimension.notes,dimension.unit,dimension.part,dimension.precision,dimension.type,dimension.free,dimension.value,acquisition.date,acquisition.method
101,04071,aankoop (?),De boom van Jesse (muurschildering Leugemeete),Calque van een (verdwenen) 14de-eeuwse muurschildering in de kapel van de Leugemeete (Godshuis van St.-Jan en St.-Pauwel) te Gent,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1861,1861,calqueerpapier,,,,,cm,,,hoogte,,380.00,1889,aankoop (?)
102,04072,aankoop (?),"Lodewijk I van Vlaanderen (Lodewijk van Crécy), Lodewijk van Male en Margaretha van Frankrijk (muurschildering Leugemeete)","Calque van een (verdwenen) 14de-eeuwse muurschildering in de kapel van de Leugemeete (Godshuis van St.-Jan en St.-Pauwel) te Gent, met voorstelling van een grafelijk familieportret.",STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1861,1861,calqueerpapier,,,,,cm,,,hoogte,,115,1889,aankoop (?)
103,04081,aankoop (?),"Sint-Jan en Sint-Paulus, patroonheiligen van de Leugemeete (muurschildering Leugemeete)","Calque van een (verdwenen) 14de-eeuwse muurschildering in de kapel van de Leugemeete (Godshuis van St.-Jan en St.-Pauwel) te Gent, met voorstelling van de patroonheiligen van de kapel.",STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1861,1861,calqueerpapier,,,,,cm,,,hoogte,,210,1889,aankoop (?)
104,00797,aankoop,"Opstijgende ranken, één mat bladeren en bloemen",,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1861,1861,calqueerpapier,,,,,cm,geheel,,hoogte,,143,1889,aankoop
107,00630,aankoop,"H. Victor, patroonheilige molenaars",,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1894,1894,papier (vezelproduct),,,,,cm,,,hoogte,,259,1899-07,aankoop
110,04077,aankoop,De Heilige Adrianus,,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1894,1894,papier (vezelproduct),,,,,cm,,,hoogte,,249,1899-07,aankoop
111,04078,aankoop,H. Jakobus de Meerdere (muurschildering Wolweverskapel),,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1894,1894,calqueerpapier,,,,,cm,doek,,hoogte,,189,1899-07,aankoop
112,04079,aankoop,Genadestoel,,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1894,1894,calqueerpapier,,,,,cm,geheel,,hoogte,,189,1899-07,aankoop
113,04080,aankoop,Twee wijdingskruisen / decoratief kruismotief,"Calques van de middeleeuwse muurschilderingen in de Wolverskapel, Korte Dagsteeg te Gent",STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1894,1894,calqueerpapier,,,,,cm,geheel,,hoogte,,189,1899-07,aankoop
114,04088,aankoop (?),Diaken (muurschildering Sint-Baafsabdij),Kopie van een muurschildering in de refter van de Sint-Baafsabdij te Gent. Het origineel zou uit de 2de helft van de 12de eeuw dateren.,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1889,1889,papier (vezelproduct),,,,,cm,,,hoogte,,330,1917,aankoop (?)
115,04090,aankoop (?),Heilige Caphrahildis (?) (muurschildering Sint-Baafsabdij),Kopie van een muurschildering in de refter van de Sint-Baafsabdij te Gent. Het origineel zou uit de 2de helft van de 12de eeuw dateren.,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1889,1889,calqueerpapier,,,,,cm,,,hoogte,,340,1917,aankoop (?)
117,04093,aankoop (?),Heilige Caphrahildis,,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1889,1889,calqueerpapier,,,,,cm,,,hoogte,,81,1917,aankoop (?)
118,04094,aankoop (?),SAPIENTIA-MEDAILLON,,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1889,1889,calqueerpapier,,,,,cm,,,hoogte,,81,0,aankoop (?)
119,04082,aankoop (?),Twee zittende figuren boven elkaar voorgesteld,,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1894,1894,stof (textiel),,,,,cm,,,hoogte,,260,1894,aankoop (?)
121,00661,aankoop,Calque van de muurschildering met Johannes de Evangelist in het Gerard Duivelsteen te Gent,,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1892,1892,canvas,,,,,cm,geheel,,hoogte,,109,1901-05-06,aankoop
123,04083,aankoop (?),"Heilige Filippus, apostel",,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1894,1894,stof (textiel),,,,,cm,,,hoogte,,198,1894,aankoop (?)
124,04084,aankoop (?),"Heilige Jacobus de Jonge, apostel",,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1894,1894,stof (textiel),,,,,cm,,,hoogte,,163.5,1894,aankoop (?)
129,04087,aankoop (?),Heilige Macharius (muurschildering Sint-Baafsabdij),Kopie van een muurschildering in de refter van de Sint-Baafsabdij te Gent. Het origineel zou uit de 2de helft van de 12de eeuw dateren.,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1889,1889,papier (vezelproduct),,,,,cm,,,hoogte,,361,1917,aankoop (?)
146,N.02201.1-4,gift,"Prijspenning Automobielclub des Flandres , 1910","Vz.Twee wagens rijden naar rechts met links een boom en op de achtergrond een landschap ; onderaan links ingeslagen, GAND / J.JOORISKz.Twee wapenschilden staan onderaan schuin tegen elkaar, bovenop een stralende zon en met erboven één gezamenlijke kroon ; eronder gebogen, AVTOMOBILE CLVB , horizontaal, DES / FLANDRES ; onderaan op de afsnede gegraveerd :1/4 : Voitures de réclame / 2e Prix / Gand 8 mai I9I02/4 : Camions / 2e prix / Gand, 8 mai I9I03/4 : Voitures de réclame / 3e Prix / Gand 8 mai I9I04/4 : Camions / 3e prix / Gand, 8 mai I9I0",STAM (Gent),"Jooris, Jules",ontwerper,Gent,20ste eeuw,1910,1910,zilver,,,,,mm,,,hoogte,,38.2,1919-02-12,gift
183,A2005.02.122,gift,"Matrijs voor éénzijdige ereplaket aan Victor Deneffe, 1905","In spiegelbeeld en verdiept staat de buste van Deneffe in een boogvormige nis met daarboven, A VICTOR DENEFFE en onderaan op de afsnede, SES ELEVES  SES AMIS  I905 en op de arm, DOM. VAN DEN BOSC

Op 5 november 1905 werd Prof. Dr. Victor Deneffe naar aanleiding van zijn emeritaat gevierd door zijn oud-leerlingen, vrienden en bewonderaars. De huldiging ging door in het amfitheater van het Instituut voor Anatomie en Operatieve Geneeskunde.
De gevierde kreeg een gouden plaket met zijn portret, waarvoor dit de matrijs is, en alle inschrijvers die 5 frank hadden gestort ontvingen een bronzen exemplaar.
Een penning werd samen met de matrijs en een gipsontwerp op ware grootte aan het museum geschonken in 1906 door dr. G. Penneman, secretaris van Deneffe comité, Lousberglaan 37 Gent.",STAM (Gent),"Van Den Bossche, Dominique",ontwerper,Gent,20ste eeuw,1905,1905,staal,,,,slagoppervlak,mm,,,hoogte,,67,1906,gift
897,00883,overdracht,"Wapenschild van het ambacht van de Gentse kruideniers, kaaskopers en kaarsgieters met voorstelling van de aartsengel Michael","Geborduurd wapenschild / blazoen van het ambacht van de Gentse kruideniers, kaaskopers en kaarsgieters met de voorstelling van de H. Michael, afgebeeld met zwaard in de rechterhand en de helse draak verpletterend. In de linkerhand houdt hij een weegschaal waarin hij de verdiensten en tekortkomingen van de mensen afweegt. terwille van de weegschaal is hij patroonheilige van de kaaskopers. Het wapenschild behoort tot een set van zes stukken.
De kruideniers, kaaskopers en kaarsgieters waren na  de opstand van de Gentenaren in 1540 door Keizer Karel V in één ambacht verenigd.
Bij rouwplechtigheden naar aanleiding van het overlijden van een ambachtslid, werd over de ksit het lijkkleed met wapenschilden van het ambacht gelegd.
In 1707 bestelde het gilde een nieuw lijkkleed van zwart laken met geborduurde blazoenen bij de Gentse borduurwerker Jan de Stoppelaere naar de ontwerpen van Heydelbergh. Over Jan de Stoppelaere is niets bekend. Misschien was hij de zoon van Peter de Stoppelaere die in 1689 als borduurwerker lid werd van de Sint-Lucasgilde te Gent. De ontwerper Heydelbergh is eveneens moeilijk te identificeren. Misschien wordt hier verwezen naar Jan Baptist Helderbergh die in 1684 poorter werd te Gent en er in 1734 overleed. De naam kan ook verwijzen naar Lieven Helderbergh in Gent in 1686 geboren. Hij werd pas in 1734 als beeldhouwer lid van het Sint-Lucasambacht.",STAM (Gent),Heydelbergh,ontwerper,Gent,18de eeuw,1707,1707,linnen,geheel,geborduurd,geheel,,cm,geheel,,hoogte,,43.8,1864,overdracht
1665,02001.4-5,aanwinst,Balustrade van een woning aan het Edward Anseeleplein,"Onder een boog met laurierbladeren ment een gevleugelde figuur (lauwerkrans in de hand) twee rendieren die de wagen (naar links) over de wolken voeren. In de zwikken staan twee leeuwen met een slang.
Deze balustrade is afkomstig van een gesloopte burgerwoning gelegen aan de Garenmarkt (nu Edward Anseeleplein) te Gent. Het ontwerp wordt toegeschreven aan de Gentse edelsmid P.J.J. Tiberghien.
",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,19de eeuw,1800,1810,smeedijzer,geheel,gedreven,,,cm,geheel,,hoogte,,81.5,,aanwinst
1905,00647,bruikleen,"Ontwerptekening voor een kelk, meesterproef van Matthieu Lenoir","Ontwerptekening voor een régencekelk met een sterk uitgebekt en uitgesneden voetstuk, een urnvormige greep en cherubs in wolken als decoratie van de cupa. Onder de tekening staat een cursief opschrift waaruit blijkt dat de zilversmid Matthieu Lenoir in  de opdracht kreeg om de kel als meesterproef te vervaardigen. Hij werd vrij meester op 7 juli 1740.",STAM (Gent),"Lenoir, Matthieu Joseph Michiel",ontwerper,Gent,18de eeuw,1740,1740,papier (vezelproduct),,getekend,,,cm,,,hoogte,,43.3,0,bruikleen
2505,00652,bruikleen,"Ontwerptekening voor een sauskom, meesterproef van Joannes Baptist Macharius Pauwels",Ontwerptekenig van rococosauskom met gegraveerde rocailleversiering. Uit het cursief opschrift onder de tekening blijkt dat de zilversmid  J.B.M. Pauwels op 21 juni 1757 de opdracht kreeg deze sauskom als meesterproef te vervaardigen.,STAM (Gent),"Pauwels, Joannes Baptist Macharius",ontwerper,Gent,18de eeuw,1757,1757,papier (vezelproduct),,getekend,,,cm,,,hoogte,,20.4,0,bruikleen
2546,A65.02.144.3-11,schenking,"Gedenkpenning bezoek van Willem I aan het kunstkabinet van d’Huyvetter, 1829","In het midden een verzameling oudheidkundige objecten met rondom, SVPELLECTILIS BELG. FICTIL ET VITR. PALEOTHECA en onderaan op de afsnede, GANDAVI. MDCCXXIX. en met eronder de verhoogde boord volgend, BRAEMT F.
Op de andere zijde staat de tekst, OB FAVORUM / QVOD GVILIELM.I.B.R. / PALÆOTHECAM / VISIT ADPROBAVITQ. / JOAN. D’HVIJVETTER. / ACAD GRAPH DIRECTOR / GRAT. CONSECR. en met rondom een verhoogde boord.

In de lente van 1829 maakte koning Willem I een lange reis door de Zuidelijke Nederlanden. Op 27 mei vertrok hij vanuit Brussel via Mechelen en Lier naar Antwerpen (27 en 28 mei). Daarna ging hij via Terneuzen en Sas van Gent naar Gent (30 en 31 mei) om dan zijn reis verder te zetten langs Drongen, Deinze en Tielt richting Brugge (1 en 2 juni). Vandaar trok hij verder naar Oostende en via Torhout en Menen naar Kortrijk (4 juni). In de volgende weken bezocht hij nog Doornik (12 juni), Mons (13 en 14 juni), Charleroi (15 juni), Namen (16 juni), Luik en omgeving (22 tot 24 juni) en Maastricht (26 juni) om via Tongeren en Hasselt terug naar Den Bosch te reizen (27 en 28 juni).
Het ging niet om een plezierreisje. De koning maakte zich bezorgd om de aanhoudende stroom van problemen die de uiteindelijke samensmelting van de beide landsdelen in de weg stond.
Ondanks al de kritiek op het beleid van Willem I en vooral op dat van zijn ministers was het onthaal in het Zuiden, behalve misschien in Mons en Maastricht, bijzonder hartelijk.
Naar aanleiding van zijn oponthoud te Gent op 30 en 31 mei werden door Braemt twee penningen geslagen. Een eerste penning werd door de Nijverheidsmaatschappij aan de koning opgedragen (N.119). Daarnaast liet de directeur van de Gentse tekenacademie een penninkje maken ter herinnering aan het bezoek van de koning op zondag 31 mei aan zijn verzameling oudheden. Het werd geslagen in goud, zilver, brons en tin maar de stukken waren pas klaar na de onlusten van eind augustus 1830 te Brussel.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1829,1829,koper,,geslagen,,,mm,,,diameter,,27.6,1965,schenking
2859,N.01976,aanwinst,"Gedenkpenning bebloemde waterstoet te Gent, 1905","Vz.Een vrouw staat in vooraanzicht op de boeg van een zeilschip met in haar linkerhand een tuil bloemen terwijl haar rechterhand rust op een anker en met voor haar het Gentse wapenschild ; onderaan langs de opstaande rand, DEVOS-FERNEZ (links) GAND (rechts) Kz.Links een lauriertakje van onder naar boven en met rechts ervan, CORTÈGE / Nautique / GAND / I905 en eronder een instempeling DF",STAM (Gent),"Devos-Fernez, A.",ontwerper,Gent,20ste eeuw,1905,1905,zilver,,geslagen,,,mm,,,hoogte,,33.7,,aanwinst
2861,N.01974,aanwinst,"Gedenkpenning 50ste voorstelling van de Comédies Françaises, 1905","Vz.De Gentse maagd zit naar links op een bankje met rechts van haar de leeuw naar rechts met zijn voorpoten op haar schoot ; ze houdt haar rechterarm rond zijn hals en in haar linkerhand heeft ze een charter met zegels ; op de achtergrond de Gentse torens ; op het bankje verdiept, HIPP LE ROY.Kz.SOUVENIR / DE LA 50E / REPRÉSENTATION / DE COMÉDIES FRANÇAISES / GAND / 28 FEVRIER / 1905",STAM (Gent),"Le Roy, Hippolyte",ontwerper,Gent,20ste eeuw,1905,1905,zilver,,geslagen,,,mm,,,diameter,,28.4,,aanwinst
3121,N.01028,aanwinst,"Gedenkpenning opening kanaal Gent-Terneuzen, 1827","Op de voorzijde staan vijf uitwaaierende korenaren tussen een schuin geplaatste Mercuriusstaf (links) en spade (rechts) en met in de afsnede, een ster en bovenaan, langs de rand, LANDBOUW EN KOOPHANDEL ; rondom, een parelcirkel en een effen boord.
OP de keerzijde staat, KANAAL / VAN / NEUZEN OP GENT / GEOPEND / DEN XVIII NOV : / MDCCCXXVII / ---  ; deze tekst is omgeven door een krans van twee lauriertakken en onderaan, waar de takken zich kruisen, en bovenaan, tussen de uiteinden van de krans, bevindt zich een rozet en met rondom, een parelcirkel en een effen boord.

In het midden van de 16de eeuw hadden de Gentenaars de Sassevaart gegraven, die hun stad via Sas van Gent verbond met de Schelde. Deze waterweg was op het einde van het Ancien Régime echter totaal verzand en onbruikbaar geworden. De regering besloot in 1822 om ze – als afwateringskanaal voor de omliggende polders – te herstellen en door te trekken tot in Terneuzen. In 1823 besloot Willem I om de Sassevaart bovendien te laten verbreden en verdiepen, teneinde dit kanaal tot in Gent voor de scheepvaart toegankelijk te maken.
Na vele problemen van aanbesteding en financiering kon op 1 mei 1825 met de werken worden gestart, en ondanks talrijke moeilijkheden werd het kanaal in relatief korte tijd voor de scheepvaart opengesteld. De inhuldiging vond met grote luister plaats op 18 november 1827. Voor deze gelegenheid werden zowel grote medailles (N.749 en N.912) als deze kleine strooipenningen in goud, zilver en brons uitgegeven.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1827,1827,koper,,geslagen,,,mm,,,diameter,,21.8,,aanwinst
3229,00884,overdracht,"Wapenschild van het ambacht van de Gentse kruideniers, kaaskopers en kaarsgieters met voorstelling van de 3 koningen","Geborduurd wapenschild / blazoen van het ambacht van de Gentse kruideniers, kaaskopers en kaarsgieters met de voorstelling van de Drie Koningen met goud, wierook en mirre in de handen. Aan hen was het goddelijk licht geopenbaard en gezien een kaars vaak symbool staat voor het goddelijke licht lijkt het voor de hand liggend dat de kaarsgieters hen als patroonheiligen kozen. Wapenschild behoort tot een set van zes blazoenen in 1707 besteld bij de borduurwerker Jan de Stoppelaere, naar de ontwerpen van Heydelbergh.
De kruideniers, kaaskopers en kaarsgieters waren na  de opstand van de Gentenaren in 1540 door Keizer Karel V in één ambacht verenigd.
",STAM (Gent),Heydelbergh,ontwerper,Gent,18de eeuw,1707,1707,linnen,geheel,geborduurd,geheel,,cm,geheel,,hoogte,,43.4,1864,overdracht
3288,N.01979,aanwinst,"Gedenkpenning 9de federale vergadering te Gent van de Belgische Brandweerfederatie, 1899","Vz.Het gekroonde Gentse Wapenschild met eronder op een banderol, FIDES ET AMOR en onderaan langs de geprofileerde rand, LEMAIREKz.Binnen een open krans van ineengestrengelde laurier- en eikentakken met onderaan een strik, staat in een verhoogde cirkel, FÉDÉRATION / DES / SAPEURS POMPIERS / BELGES / ?? / 9E RÉUNION FÉDÉRALE / ?? / GAND / 8?9?I0?II JUILLET / 1899 (de eerste en de laatste zin volgen de cirkel) ; rondom is een geprofileerde rand.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1899,1899,koper,,geslagen,,,mm,,,diameter,,50.8,,aanwinst
3548,N.01949,aanwinst,"Gedenkpenning 50ste verjaring zangmaatschappij Willems Genootschap, 1896","Vz.De buste van Jan-Frans Willems staat naar links met onder de schouder, LEMAIRE GENT en rondom bovenaan, langs de geprofileerde rand, JAN-FRANS WILLEMS. GEB. 1793, OVERL. 1846.Kz.Binnen een middencirkel, KONINKL. ZANGM. WILLEMS GENOOTSCHAP / ??? / 50 JARIG / JUBELFEEST / I846-I896 / FESTIVAL / ??? / ? GENT ? (de eerste en de laatste zin volgen de cirkel) de cirkel is rondom versierd met allerlei muziekinstrumenten, vlaggen, bovenaan een lier en onderaan een muziekboek bovenop twee lauriertakken en rondom een geprofileerde rand.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1896,1897,koper,,geslagen,,,mm,,,diameter,,51.8,,aanwinst
3569,00814,onbekend,"Portret van burggraaf Philippe Vilain XIIII, grootbaljuw van Gent",,STAM (Gent),"Onghena, Charles",ontwerper,Gent,19de eeuw,1800,1899,papier (vezelproduct),drager,,,,cm,geheel,,hoogte,,26.5,0,onbekend
3876,02001.5-5,aanwinst,Balustrade van een woning aan het Edward Anseeleplein,"Balkonleuning: figuur gezeten in wagen met hoorn des overvloeds in de hand, getrokken door 2 gevleugelde figuurtjes. Deze balustrades zijn afkomstig van een gesloopte burgerwoning gelegen aan de Garenmarkt (nu Edward Anseeleplein) te Gent. Het ontwerp wordt toegeschreven aan de Gentse edelsmid P.J.J. Tiberghien.",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,19de eeuw,1800,1810,smeedijzer,geheel,gedreven,,,cm,geheel,,hoogte,,85.5,,aanwinst
3929,N.02177,aanwinst,"Gedenkpenning Provinciale tentoonstelling, 1899","Vz.Buste van Leopold II naar rechts met rondom bovenaan, KONING DER BELGEN • LEOPOLD II • ROI DES BELGES ; onderaan links langs de rand, H. LE ROY ET LEMAIRE Kz.De Gentse maagd zit driekwart naar rechts met in haar linkerhand een stok omwikkeld met garen en links van haar op de grond het Gentse wapenschild bovenop een lauriertak ; rechts van haar staat allerlei materiaal, een schilderspalet, een vaas met een bloem, een tandwiel en een vrouwenbeeld ; op de achtergrond de tentoonstellingsgebouwen ; rondom bovenaan, PROVINCIALE TENTOONSTELLING • I 8 9 9 • EXPOSITION PROVINCIALE ; onderaan op de afsnede, GENT • GAND ; links op de rand van de afsnede, LEMAIRE ET H. LE.ROY",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1899,1899,zilver,,,,,mm,,,diameter,,68.6,,aanwinst
4043,N.02201.3-4,gift,"Prijspenning Automobielclub des Flandres , 1910","Vz.Twee wagens rijden naar rechts met links een boom en op de achtergrond een landschap ; onderaan links ingeslagen, GAND / J.JOORISKz.Twee wapenschilden staan onderaan schuin tegen elkaar, bovenop een stralende zon en met erboven één gezamenlijke kroon ; eronder gebogen, AVTOMOBILE CLVB , horizontaal, DES / FLANDRES ; onderaan op de afsnede gegraveerd :1/4 : Voitures de réclame / 2e Prix / Gand 8 mai I9I02/4 : Camions / 2e prix / Gand, 8 mai I9I03/4 : Voitures de réclame / 3e Prix / Gand 8 mai I9I04/4 : Camions / 3e prix / Gand, 8 mai I9I0",STAM (Gent),"Jooris, Jules",ontwerper,Gent,20ste eeuw,1910,1910,brons,,,,,mm,,,hoogte,,38.2,1919-02-12,gift
4159,N.01951,aanwinst,"Prijspenning etalagewedstrijd te Gent, 1897","Vz.Het gekroonde Gentse wapenschild met eronder op een banderol, FIDES ET AMOR en onderaan langs de geprofileerde rand, LEMAIRE Kz.Binnen een open krans van ineengestrengelde laurier- en eikentakken met onderaan een strik, staat in een cirkel, GAND-ATTRACTIONS / bloem / CONCOURS / D’ETALAGES / bloem / I 8 9 7 (de eerste en de laatste zin volgen de cirkel) en met rondom een geprofileerde rand.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1897,1897,brons,,geslagen,,,mm,,,diameter,,50.8,,aanwinst
